Data type	GEO ID	Name	Tissue	Population	Number of donors	Age group	Gender	Platform	Data Format
Bisulfite-seq	GSM2324525	CMP_50_D2_2_R2	peripheral blood	CMP	2	65	Male	Illumina HiSeq 3000/4020	Alignment
Bisulfite-seq	GSM2324526	CMP_1000_D2_R2	peripheral blood	CMP	2	65	Male	Illumina HiSeq 3000/4021	Alignment
Bisulfite-seq	GSM2324535	CMP_50_D1_1_R2	peripheral blood	CMP	1	60	Male	Illumina HiSeq 3000/4022	Alignment
Bisulfite-seq	GSM2324536	CMP_50_D1_2_R2	peripheral blood	CMP	1	60	Male	Illumina HiSeq 3000/4023	Alignment
Bisulfite-seq	GSM2324537	CMP_1000_D1_R2	peripheral blood	CMP	1	60	Male	Illumina HiSeq 3000/4024	Alignment
Bisulfite-seq	GSM2324546	CMP_50_D3_1_R1	peripheral blood	CMP	3	55	Male	Illumina HiSeq 3000/4025	Alignment
Bisulfite-seq	GSM2324547	CMP_50_D3_2_R1	peripheral blood	CMP	3	55	Male	Illumina HiSeq 3000/4026	Alignment
Bisulfite-seq	GSM2324548	CMP_1000_D3_R1	peripheral blood	CMP	3	55	Male	Illumina HiSeq 3000/4027	Alignment
Bisulfite-seq	GSM2324741	MEP_50_D3_1_R1	peripheral blood	MEP	3	70	Female	Illumina HiSeq 3000/4028	Alignment
Bisulfite-seq	GSM2324742	MEP_50_D3_2_R1	peripheral blood	MEP	3	70	Female	Illumina HiSeq 3000/4029	Alignment
Bisulfite-seq	GSM2324743	MEP_1000_D3_R1	peripheral blood	MEP	3	70	Female	Illumina HiSeq 3000/4030	Alignment
Bisulfite-seq	GSM2324730	MEP_10_D1_8_R1	peripheral blood	MEP	1	60	Male	Illumina HiSeq 3000/4031	Alignment
Bisulfite-seq	GSM2324731	MEP_50_D1_1_R1	peripheral blood	MEP	1	60	Male	Illumina HiSeq 3000/4032	Alignment
Bisulfite-seq	GSM2324732	MEP_50_D1_2_R1	peripheral blood	MEP	1	60	Male	Illumina HiSeq 3000/4033	Alignment
Bisulfite-seq	GSM2324720	MEP_50_D2_1_R2	peripheral blood	MEP	2	45	Male	Illumina HiSeq 3000/4034	Alignment
Bisulfite-seq	GSM2324721	MEP_50_D2_2_R2	peripheral blood	MEP	2	45	Male	Illumina HiSeq 3000/4035	Alignment
Bisulfite-seq	GSM2324722	MEP_1000_D2_R2	peripheral blood	MEP	2	45	Male	Illumina HiSeq 3000/4036	Alignment
Bisulfite-seq	GSM2324472	CLP_50_D1_1_R2	peripheral blood	CLP	1	65	Male	Illumina HiSeq 3000/4037	Alignment
Bisulfite-seq	GSM2324473	CLP_50_D1_2_R2	peripheral blood	CLP	1	65	Male	Illumina HiSeq 3000/4038	Alignment
Bisulfite-seq	GSM2324474	CLP_1000_D1_R2	peripheral blood	CLP	1	65	Male	Illumina HiSeq 3000/4039	Alignment
Bisulfite-seq	GSM2324493	CLP_10_D3_8_R1	peripheral blood	CLP	3	NA	Female	Illumina HiSeq 3000/4040	Alignment
Bisulfite-seq	GSM2324494	CLP_50_D3_1_R1	peripheral blood	CLP	3	NA	Female	Illumina HiSeq 3000/4041	Alignment
Bisulfite-seq	GSM2324495	CLP_50_D3_2_R1	peripheral blood	CLP	3	NA	Female	Illumina HiSeq 3000/4042	Alignment
Bisulfite-seq	GSM2324483	CLP_50_D2_1_R1	peripheral blood	CLP	2	60	Male	Illumina HiSeq 3000/4043	Alignment
Bisulfite-seq	GSM2324484	CLP_50_D2_2_R1	peripheral blood	CLP	2	60	Male	Illumina HiSeq 3000/4044	Alignment
Bisulfite-seq	GSM2324485	CLP_1000_D2_R1	peripheral blood	CLP	2	60	Male	Illumina HiSeq 3000/4045	Alignment
Bisulfite-seq	GSM2324601	GMP_50_D3_1_R1	peripheral blood	GMP	3	NA	Male	Illumina HiSeq 3000/4046	Alignment
Bisulfite-seq	GSM2324602	GMP_50_D3_2_R1	peripheral blood	GMP	3	NA	Male	Illumina HiSeq 3000/4047	Alignment
Bisulfite-seq	GSM2324603	GMP_1000_D3_R1	peripheral blood	GMP	3	NA	Male	Illumina HiSeq 3000/4048	Alignment
Bisulfite-seq	GSM2324590	GMP_50_D2_1_R1	peripheral blood	GMP	2	NA	Male	Illumina HiSeq 3000/4049	Alignment
Bisulfite-seq	GSM2324591	GMP_50_D2_2_R1	peripheral blood	GMP	2	NA	Male	Illumina HiSeq 3000/4050	Alignment
Bisulfite-seq	GSM2324592	GMP_1000_D2_R1	peripheral blood	GMP	2	NA	Male	Illumina HiSeq 3000/4051	Alignment
Bisulfite-seq	GSM2324579	GMP_50_D1_1_R1	peripheral blood	GMP	1	50	Male	Illumina HiSeq 3000/4052	Alignment
Bisulfite-seq	GSM2324580	GMP_50_D1_2_R1	peripheral blood	GMP	1	50	Male	Illumina HiSeq 3000/4053	Alignment
Bisulfite-seq	GSM2324581	GMP_1000_D1_R1	peripheral blood	GMP	1	50	Male	Illumina HiSeq 3000/4054	Alignment
Bisulfite-seq	GSM2324901	MLP1_50_D1_1_R2	peripheral blood	MLP	1	55	Male	Illumina HiSeq 3000/4055	Alignment
Bisulfite-seq	GSM2324902	MLP1_50_D1_2_R2	peripheral blood	MLP	1	55	Male	Illumina HiSeq 3000/4056	Alignment
Bisulfite-seq	GSM2324903	MLP1_1000_D1_R2	peripheral blood	MLP	1	55	Male	Illumina HiSeq 3000/4057	Alignment
Bisulfite-seq	GSM2324890	MLP1_50_D2_1_R2	peripheral blood	MLP	2	NA	Female	Illumina HiSeq 3000/4058	Alignment
Bisulfite-seq	GSM2324891	MLP1_50_D2_2_R2	peripheral blood	MLP	2	NA	Female	Illumina HiSeq 3000/4059	Alignment
Bisulfite-seq	GSM2324892	MLP1_1000_D2_R2	peripheral blood	MLP	2	NA	Female	Illumina HiSeq 3000/4060	Alignment
Bisulfite-seq	GSM2324879	MLP1_50_D3_1_R1	peripheral blood	MLP	3	40	Male	Illumina HiSeq 3000/4061	Alignment
Bisulfite-seq	GSM2324880	MLP1_50_D3_2_R1	peripheral blood	MLP	3	40	Male	Illumina HiSeq 3000/4062	Alignment
Bisulfite-seq	GSM2324881	MLP1_1000_D3_R1	peripheral blood	MLP	3	40	Male	Illumina HiSeq 3000/4063	Alignment
